name,address,position,available_bikes,timestamp,is_available
2010 - CONFLUENCE / DARSE,ANGLE ALLEE ANDRE MURE ET QUAI ANTOINE RIBOUD,"{'lat': 45.743317, 'lng': 4.815747}",14,2025-06-02 14:25:56,True
5015 - FULCHIRON,Devant le n°41 rue de la Quarantaine,"{'lat': 45.75197, 'lng': 4.821662}",3,2025-06-02 14:25:56,True
32001 - COUZON - CENTRE,,"{'lat': 45.846034, 'lng': 4.832409}",14,2025-06-02 14:25:56,True
6004 - FOCH,Angle rue Vendôme,"{'lat': 45.768896, 'lng': 4.844845}",0,2025-06-02 14:25:56,False
7035 - MARSEILLE / UNIVERSITÉ,Angle rue de Marseille,"{'lat': 45.750945, 'lng': 4.83927}",32,2025-06-02 14:25:56,True
10120 - SALENGRO / DESCARTES,41 AV. ROGER SALENGRO (VILLEURBANNE),"{'lat': 45.776239, 'lng': 4.871634}",6,2025-06-02 14:25:56,True
5016 - POINT DU JOUR / GRANGES,Devant la mairie du 5°,"{'lat': 45.756204, 'lng': 4.802727}",2,2025-06-02 14:25:56,True
9013 - QUAI PAUL SÉDALLIAN,Angle rue de la Navigation,"{'lat': 45.787522, 'lng': 4.814418}",19,2025-06-02 14:25:56,True
10028 - ECOLE DE MUSIQUE,Cours de la République/Angle Anatole France,"{'lat': 45.767467, 'lng': 4.874032}",6,2025-06-02 14:25:56,True
6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,50 QUAI ACHILLE LIGNON,"{'lat': 45.78458, 'lng': 4.859664}",10,2025-06-02 14:25:56,True
15002 - ST PRIEST - CITE BERLIET,,"{'lat': 45.70597, 'lng': 4.900886}",13,2025-06-02 14:25:56,True
10005 - 11 NOVEMBRE,Face Entrée du Parc de la Tête d'Or**,"{'lat': 45.779702, 'lng': 4.860029}",29,2025-06-02 14:25:56,True
4012 - PLACE ADRIEN GODIEN,Angle montée de la Boucle,"{'lat': 45.778767, 'lng': 4.841109}",0,2025-06-02 14:25:56,False
11004 - CALUIRE - BRANLY / PASTEUR,,"{'lat': 45.79169, 'lng': 4.843452}",8,2025-06-02 14:25:56,True
16002 - VÉNISSIEUX - LÉVY / VIENNE,,"{'lat': 45.719399, 'lng': 4.854681}",10,2025-06-02 14:25:56,True
3009 - MUSEE AFRICAIN,133 COURS GAMBETTA,"{'lat': 45.750251, 'lng': 4.857919}",1,2025-06-02 14:25:56,True
10122 - VERDUN / DESGRAND,17 RUE DE VERDUN (VILLEURBANNE),"{'lat': 45.784023, 'lng': 4.897102}",7,2025-06-02 14:25:56,True
16001 - VENISSIEUX - PLACE ROMAND,,"{'lat': 45.725891, 'lng': 4.858428}",10,2025-06-02 14:25:56,True
10091 - CHÂTEAU GAILLARD / FORT,28 RUE DU CHÂTEAU GAILLARD (VILLEURBANNE),"{'lat': 45.774754, 'lng': 4.887977}",3,2025-06-02 14:25:56,True
2021 - RAMBAUD / ECOLE DU CINÉMA,,"{'lat': 45.745824, 'lng': 4.817176}",11,2025-06-02 14:25:56,True
4025 - CHAZIÈRE,29 RUE CHAZIERE,"{'lat': 45.775425, 'lng': 4.817888}",7,2025-06-02 14:25:56,True
10113 - GARE DE VILLEURBANNE,49 AV. GENERAL LECLERC (VILLEURBANNE),"{'lat': 45.755768, 'lng': 4.891542}",1,2025-06-02 14:25:56,True
4023 - PONT MASARYK,Face au 45 quai Gillet,"{'lat': 45.778175, 'lng': 4.810716}",8,2025-06-02 14:25:56,True
3066 - KIMMERLING / FAURE,139 AV. FELIX FAURE,"{'lat': 45.754296, 'lng': 4.86359}",2,2025-06-02 14:25:56,True
10111 - CHARLES HERNU,,"{'lat': 45.770309, 'lng': 4.86196}",14,2025-06-02 14:25:56,True
5040 - PLACE CRÉPU,7 PLACE BENOIT CREPU,"{'lat': 45.757847, 'lng': 4.826103}",10,2025-06-02 14:25:56,True
7008 - JEAN JAURÈS / GUILLOTIÈRE,Avenue Jean Jaurès - Angle rue de la Guillotière,"{'lat': 45.75251, 'lng': 4.846278}",9,2025-06-02 14:25:56,True
7024 - BANCEL / CHEVREUL,6 RUE BANCEL,"{'lat': 45.748504, 'lng': 4.840505}",7,2025-06-02 14:25:56,True
2023 -  PERRACHE / PETIT,Entre rue Victor Hugo et rue d'Auvergne,"{'lat': 45.7444746076792, 'lng': 4.82671963006449}",2,2025-06-02 14:25:56,True
4004 - HÉNON,Angle rue Hénon,"{'lat': 45.779786, 'lng': 4.827635}",1,2025-06-02 14:25:56,True
8061 - STADE VUILLERMET,164 AV. PAUL SANTY,"{'lat': 45.725403, 'lng': 4.881292}",8,2025-06-02 14:25:56,True
1023 - CROIX ROUSSE / PERFETTI,16 BVD DE LA CROIX-ROUSSE,"{'lat': 45.772229, 'lng': 4.819389}",1,2025-06-02 14:25:56,True
7003 - GAMBETTA / GARIBALDI,Cours Gambette - Prolongement rue Rachais,"{'lat': 45.751827, 'lng': 4.8526}",7,2025-06-02 14:25:56,True
7030 - QUARTIER GENERAL FRERE,33 Boulevard Yves Farge 69007 Lyon,"{'lat': 45.743163, 'lng': 4.834165}",28,2025-06-02 14:25:56,True
6042 - CITÉ INTERNATIONALE / RÉSIDENCE HÔTELIÈRE,devant la résidence hôtelière à l'ouest de la place publique,"{'lat': 45.784812, 'lng': 4.856432}",23,2025-06-02 14:25:56,True
2013 - CÉLESTINS,"Côté nord de la place, vers l'ascenseur","{'lat': 45.759932, 'lng': 4.832111}",19,2025-06-02 14:25:56,True
3086 - FEUILLAT / LACASSAGNE,76 AV. LACASSAGNE,"{'lat': 45.749563, 'lng': 4.875934}",3,2025-06-02 14:25:56,True
8025 - DUMONT / JOUVET,12 RUE SANTOS DUMONT,"{'lat': 45.744447, 'lng': 4.860889}",8,2025-06-02 14:25:56,True
3050 - FRICHE RVI,5 rue Félix Rollet 69003 Lyon,"{'lat': 45.748346, 'lng': 4.875955}",1,2025-06-02 14:25:56,True
8056 - DELORE / AUDIBERT ET LAVIROTTE,69 RUE AUDIBERT ET LAVIROTTE,"{'lat': 45.73586, 'lng': 4.856888}",5,2025-06-02 14:25:56,True
10119 - VILLEURBANNE SAINT-JEAN,2 RUE DES ACACIAS VILLEURBANNE,"{'lat': 45.780422, 'lng': 4.904505}",8,2025-06-02 14:25:56,True
7053 - JAURÈS / THIBAUDIÈRE,26 RUE DE LA THIBAUDIERE,"{'lat': 45.750344, 'lng': 4.845048}",10,2025-06-02 14:25:56,True
3012 - PLACE DU CHÂTEAU,A côté de l'église,"{'lat': 45.749565, 'lng': 4.887311}",4,2025-06-02 14:25:56,True
4009 - JACQUARD / DENFERT-ROCHEREAU,Rue Denfert-Rochereau / Angle rue Jacquart,"{'lat': 45.77591, 'lng': 4.825394}",0,2025-06-02 14:25:56,False
10089 - COLIN / PERRONCEL,Rue Colin - Angle rue Alexis Perroncel,"{'lat': 45.774581, 'lng': 4.87406}",8,2025-06-02 14:25:56,True
1031 - PLACE DE LA PAIX,Place de la Paix - En face de La Poste,"{'lat': 45.768023, 'lng': 4.831733}",0,2025-06-02 14:25:56,False
3037 - PAUL BERT / GARIBALDI,Rue Paul Bert,"{'lat': 45.757112, 'lng': 4.853405}",7,2025-06-02 14:25:56,True
8035 - SANS SOUCI,54 COURS ALBERT THOMAS,"{'lat': 45.747251, 'lng': 4.865386}",5,2025-06-02 14:25:56,True
5045 - VALDO / RIVET,64 RUE JEUNET,"{'lat': 45.750497, 'lng': 4.788819}",1,2025-06-02 14:25:56,True
13001 - DECINES - CENTRE,,"{'lat': 45.771902, 'lng': 4.955721}",10,2025-06-02 14:25:56,True
6035 - CITÉ INTERNATIONALE,Face parvis du palais des congrès,"{'lat': 45.785456, 'lng': 4.854085}",16,2025-06-02 14:25:56,True
1036 - AVEYRON,158 BVD DE LA CROIX-ROUSSE,"{'lat': 45.774366, 'lng': 4.832716}",3,2025-06-02 14:25:56,True
6022 - PLACE MARÉCHAL LYAUTEY,Pierre Corneille/cours Franklin Roosevelt,"{'lat': 45.769383, 'lng': 4.842364}",2,2025-06-02 14:25:56,True
9020 - BOURBONNAIS,Angle rue Horand / rue Masset,"{'lat': 45.773468, 'lng': 4.800286}",10,2025-06-02 14:25:56,True
2027 - PERRACHE EST,,"{'lat': 45.746163, 'lng': 4.82548}",2,2025-06-02 14:25:56,True
2016 - PLACE REGAUD,Angle rue Tupin / rue Herriot,"{'lat': 45.763065, 'lng': 4.83425}",9,2025-06-02 14:25:56,True
3080 - PART-DIEU / VILLETTE,55 RUE DE LA VILLETTE,"{'lat': 45.760042, 'lng': 4.861734}",7,2025-06-02 14:25:56,True
5029 - PLACE GERSON,Prox. Quai Pierre Scize,"{'lat': 45.767057, 'lng': 4.827014}",6,2025-06-02 14:25:56,True
2004 - PERRACHE / CARNOT,16 PLACE CARNOT,"{'lat': 45.750116, 'lng': 4.82801}",18,2025-06-02 14:25:56,True
14001 - BRON - CENTRE NAUTIQUE,,"{'lat': 45.742932, 'lng': 4.90863}",13,2025-06-02 14:25:56,True
7009 - JEAN JAURÈS,174–180 Avenue Jean Jaurès 69007 Lyon,"{'lat': 45.737503, 'lng': 4.837484}",7,2025-06-02 14:25:56,True
7045 - PARC DES BERGES,40 AV. LECLERC,"{'lat': 45.737745, 'lng': 4.824495}",14,2025-06-02 14:25:56,True
3101 - PATINOIRE BARABAN,55 RUE DE BARABAN,"{'lat': 45.762055, 'lng': 4.868486}",3,2025-06-02 14:25:56,True
4021 - TABAREAU,Angle Bvd de la Croix-Rousse,"{'lat': 45.774061, 'lng': 4.82516}",3,2025-06-02 14:25:56,True
3103 - PLACE DANTON,3 PLACE DANTON,"{'lat': 45.7548502313005, 'lng': 4.85748756866509}",6,2025-06-02 14:25:56,True
6031 - LAFAYETTE / CORNEILLE,Angle cours Lafayette,"{'lat': 45.763717, 'lng': 4.843791}",11,2025-06-02 14:25:56,True
10018 - TOLSTOÏ / FLORIAN,"118 COURS TOLSTOI
69100 VILLEURBANNE","{'lat': 45.7618786774588, 'lng': 4.88106205566506}",3,2025-06-02 14:25:56,True
9049 - SERGENT BERTHET / GORGE DE LOUP,23 RUE GORGE DE LOUP,"{'lat': 45.770136, 'lng': 4.80516}",0,2025-06-02 14:25:56,False
3017 - SAXE / DUNOIR,,"{'lat': 45.760912, 'lng': 4.845291}",10,2025-06-02 14:25:56,True
9009 - BERLIOZ / CHALINEL,,"{'lat': 45.801192, 'lng': 4.825451}",3,2025-06-02 14:25:56,True
10021 - GRANDCLÉMENT,Angle cours Tolstoï,"{'lat': 45.759743, 'lng': 4.889938}",7,2025-06-02 14:25:56,True
7023 - BERTHELOT / ROUTE DE VIENNE,Route de Vienne - Angle avenue Berthelot,"{'lat': 45.742639, 'lng': 4.850538}",6,2025-06-02 14:25:56,True
6044 - CHARMETTES / BELLECOMBE,23 RUE DE LA VIABERT,"{'lat': 45.766372, 'lng': 4.865058}",0,2025-06-02 14:25:56,False
3008 - INSTITUT LUMIERE,105 COURS ALBERT THOMAS,"{'lat': 45.745828, 'lng': 4.870631}",0,2025-06-02 14:25:56,False
8042 - FRANCIS DE PRESSENSÉ,73 RUE CAZENEUVE,"{'lat': 45.731361, 'lng': 4.860139}",13,2025-06-02 14:25:56,True
9044 - MASSET / SAINT-PIERRE DE VAISE,20 AV. JOANNES MASSET,"{'lat': 45.770508, 'lng': 4.800869}",15,2025-06-02 14:25:56,True
28001 - FONTAINES S/S - QUAI SIMON,,"{'lat': 45.832495, 'lng': 4.848795}",7,2025-06-02 14:25:56,True
10075 - GABRIEL PÉRI,Angle cours André Philip,"{'lat': 45.772277, 'lng': 4.865774}",3,2025-06-02 14:25:56,True
4006 - PHILIPPE DE LASSALLE,"Angle rue Anselme, face à l'IUFM","{'lat': 45.773358, 'lng': 4.821234}",2,2025-06-02 14:25:56,True
6017 - LAFAYETTE / INKERMANN,,"{'lat': 45.764062, 'lng': 4.865802}",13,2025-06-02 14:25:56,True
2036 - PLACE ANTONIN GOURJU,11 PLACE ANTONIN GOURJU,"{'lat': 45.759494, 'lng': 4.830161}",15,2025-06-02 14:25:56,True
6002 - PORTE DES ENFANTS DU RHÔNE,"Le long des grilles, côté ouest de la porte","{'lat': 45.777521, 'lng': 4.844922}",4,2025-06-02 14:25:56,True
6032 - PRÉFECTURE / SARRAIL,Angle rue Vauban,"{'lat': 45.764821, 'lng': 4.841567}",11,2025-06-02 14:25:56,True
8055 - SAINT-ROMAIN / BERLIET,,"{'lat': 45.74222, 'lng': 4.860219}",5,2025-06-02 14:25:56,True
7033 - SAINT-LUC / SAINT-JOSEPH,Sur le quai haut,"{'lat': 45.749431, 'lng': 4.834816}",11,2025-06-02 14:25:56,True
10016 - PLACE DE LA PAIX,10 PLACE DE LA PAIX (VILLEURBANNE),"{'lat': 45.752074, 'lng': 4.91466}",7,2025-06-02 14:25:56,True
7041 - DOMER / CHEVREUL,Rue Domer/angle rue Chevreul,"{'lat': 45.746681, 'lng': 4.844455}",4,2025-06-02 14:25:56,True
3090 - VINATIER,,"{'lat': 45.741922, 'lng': 4.894068}",3,2025-06-02 14:25:56,True
8008 - BEAUVISAGE / PRESSENSÉ,Rue du Professeur Beauvisage,"{'lat': 45.727881, 'lng': 4.86355}",8,2025-06-02 14:25:56,True
3071 - BIOPARC,angle ave Rockfeller / cours Eugénie face au Bioparc,"{'lat': 45.740492, 'lng': 4.888084}",10,2025-06-02 14:25:56,True
5006 - QUAI ROMAIN ROLLAND,Face ancien Palais de Justice,"{'lat': 45.7620452080746, 'lng': 4.82872732991442}",8,2025-06-02 14:25:56,True
10014 - LAURENT BONNEVAY / ASTROBALLE,64 AV. MARCEL CERDAN,"{'lat': 45.765214, 'lng': 4.909808}",20,2025-06-02 14:25:56,True
10004 - TONKIN,Rue Salvador Allende / Angle promenade du Lys,"{'lat': 45.776217, 'lng': 4.862636}",0,2025-06-02 14:25:56,False
1013 - MARTINIÈRE,Rue de la Martinière,"{'lat': 45.768223, 'lng': 4.827533}",0,2025-06-02 14:25:56,False
26001 - ST DIDIER,,"{'lat': 45.791621, 'lng': 4.808426}",12,2025-06-02 14:25:56,True
6028 - RÉCAMIER / TÊTE D'OR,Angle rue Tête d'Or,"{'lat': 45.764345, 'lng': 4.853492}",12,2025-06-02 14:25:56,True
10034 - DOCTEUR DAMIDOT,Devant la MJC,"{'lat': 45.761825, 'lng': 4.886156}",4,2025-06-02 14:25:56,True
3058 - PLACE DU LAC,Face à la poste,"{'lat': 45.758974, 'lng': 4.853599}",12,2025-06-02 14:25:56,True
6045 - BROTTEAUX / VAUBAN,44 BVD DES BROTTEAUX,"{'lat': 45.766284, 'lng': 4.856848}",8,2025-06-02 14:25:56,True
5047 - ALBÉRIC PONT,2B RUE DR. ALBERIC PONT,"{'lat': 45.753452, 'lng': 4.804401}",1,2025-06-02 14:25:56,True
8053 - LUMIERE / TROUILHET,6 RUE ANTOINE LUMIERE,"{'lat': 45.743569, 'lng': 4.870083}",1,2025-06-02 14:25:56,True
9008 - L'ILE BARBE,3 QUAI PAUL SEDAILLAN,"{'lat': 45.797415, 'lng': 4.829038}",12,2025-06-02 14:25:56,True
9046 - MANGINI,,"{'lat': 45.790414, 'lng': 4.816359}",22,2025-06-02 14:25:56,True
4042 - GREGORY COUPET,94 RUE PHILIPPE DE LASALLE,"{'lat': 45.781699, 'lng': 4.820596}",9,2025-06-02 14:25:56,True
10053 - ROSSELINI / 11 NOVEMBRE,Bd du 11 novembre angle av. Claude Bernard,"{'lat': 45.77939, 'lng': 4.863068}",26,2025-06-02 14:25:56,True
6039 - GARIBALDI / BUGEAUD,,"{'lat': 45.766708, 'lng': 4.852073}",1,2025-06-02 14:25:56,True
10110 - MÉMOIRE ET SOCIÉTÉ,20 RUE VALENTIN HAUY (VILLEURBANNE),"{'lat': 45.75958, 'lng': 4.882739}",5,2025-06-02 14:25:56,True
6021 - GARIBALDI,Entre rue Crillon et rue Sully,"{'lat': 45.770664, 'lng': 4.849946}",0,2025-06-02 14:25:56,False
5053 - SAINT-JUST,1 PLACE DE L'ABBE LARUE,"{'lat': 45.75597, 'lng': 4.818904}",2,2025-06-02 14:25:56,True
8058 - LONGEFER / KRUGER,10 RUE PDT P. KRUGER,"{'lat': 45.738671, 'lng': 4.878117}",3,2025-06-02 14:25:56,True
2037 - PLACE DES ARCHIVES,12 COURS CHARLEMAGNE,"{'lat': 45.747956, 'lng': 4.824898}",2,2025-06-02 14:25:56,True
14004 - BRON - MAIRIE,,"{'lat': 45.73403, 'lng': 4.908777}",12,2025-06-02 14:25:56,True
2026 - RÉPUBLIQUE / PAUFIQUE,Angle rue de la République,"{'lat': 45.759379, 'lng': 4.835414}",24,2025-06-02 14:25:56,True
22001 - STE FOY - PLACE ST LUC,,"{'lat': 45.749588, 'lng': 4.800967}",6,2025-06-02 14:25:56,True
9003 - PLACE VALMY,Rue Roquette / angle rue de Bourgogne,"{'lat': 45.775679, 'lng': 4.805314}",4,2025-06-02 14:25:56,True
2038 - REMPARTS D'AINAY,16 RUE DES REMPARTS D'AINAY,"{'lat': 45.753077, 'lng': 4.829706}",14,2025-06-02 14:25:56,True
8054 - MARTINIÈRE / MONPLAISIR,34 RUE ANTOINE LUMIERE,"{'lat': 45.740865, 'lng': 4.868244}",1,2025-06-02 14:25:56,True
7039 - GUILLOTIÈRE / MADELEINE,Angle rue de la Madeleine,"{'lat': 45.751073, 'lng': 4.848018}",10,2025-06-02 14:25:56,True
2012 - GAILLETON,3 PLACE GAILLETON,"{'lat': 45.753455, 'lng': 4.833367}",10,2025-06-02 14:25:56,True
7006 - GERLAND,Avenue Jean Jaurès - Au niveau du square Galtier,"{'lat': 45.727494, 'lng': 4.831145}",28,2025-06-02 14:25:56,True
8023 - MERMOZ / PINEL,,"{'lat': 45.730788, 'lng': 4.887513}",6,2025-06-02 14:25:56,True
8011 - PLACE LEBRET,Côté route de Vienne,"{'lat': 45.735653, 'lng': 4.853042}",5,2025-06-02 14:25:56,True
1006- SUBSISTANCES,12 QUAI ST VINCENT,"{'lat': 45.767912, 'lng': 4.819872}",18,2025-06-02 14:25:56,True
4002 - MAIRIE DU 4E,Devant la mairie du 4°,"{'lat': 45.774193, 'lng': 4.827743}",3,2025-06-02 14:25:56,True
20003 - OULLINS - PONT BLANC,,"{'lat': 45.720156, 'lng': 4.798426}",12,2025-06-02 14:25:56,True
3081 - PART-DIEU / FRANCFORT,44 RUE MAURICE FLANDIN 69003 LYON,"{'lat': 45.760689, 'lng': 4.863069}",3,2025-06-02 14:25:56,True
4007 - PLACE FLAMMARION,Côté Rue Philippe de Lassalle,"{'lat': 45.779332, 'lng': 4.820259}",5,2025-06-02 14:25:56,True
30002 - RILLIEUX - LOUP PENDU,,"{'lat': 45.815973, 'lng': 4.887019}",3,2025-06-02 14:25:56,True
10092 - MONTGOLFIER / CHATEAU GAILLARD,3 RUE DU CHAMP DE L'ORME (VILLEURBANNE),"{'lat': 45.771561, 'lng': 4.890378}",1,2025-06-02 14:25:56,True
16011 - VENISSIEUX - FARGE / CLOCHETTES,Boulevard Yves Farges angle rue des Clochettes 69200 Vénissieux,"{'lat': 45.697423, 'lng': 4.858227}",0,2025-06-02 14:25:56,False
10024 - MAISONS NEUVES,Place des Maisons Neuves/Côté rue Jean Jaurès,"{'lat': 45.755988, 'lng': 4.877409}",1,2025-06-02 14:25:56,True
1034 - CARMÉLITES,30 MONTEE DES CARMELITES,"{'lat': 45.770006, 'lng': 4.829274}",0,2025-06-02 14:25:56,False
3013 - PLACE ANTOINETTE,Place Antoinette,"{'lat': 45.753683, 'lng': 4.889285}",1,2025-06-02 14:25:56,True
10008 - SALENGRO / VAILLANT,Rue Roger Salengro - Angle rue Vaillant,"{'lat': 45.778385, 'lng': 4.879673}",8,2025-06-02 14:25:56,True
3083 - LES HALLES,118 RUE MONCEY,"{'lat': 45.761595, 'lng': 4.850477}",15,2025-06-02 14:25:56,True
6024 - TRONCHET / ANATOLE FRANCE,Angle bvd Anatole France,"{'lat': 45.770743, 'lng': 4.856713}",2,2025-06-02 14:25:56,True
8006 - PLACE DU 8 MAI 1945,Rue Professeur Beauvisage/Angle bd des Etats-Unis,"{'lat': 45.729771, 'lng': 4.868157}",12,2025-06-02 14:25:56,True
23001 - TASSIN - TUILERIES,,"{'lat': 45.763244, 'lng': 4.778641}",2,2025-06-02 14:25:56,True
9052 - BALMONT,360 BVD DE BALMONT,"{'lat': 45.789194, 'lng': 4.799308}",2,2025-06-02 14:25:56,True
